2025-10-18 18:58:13 | INFO     | src.mysingle.core.app_factory | 🔓 Authentication disabled for ServiceType.IAM_SERVICE
2025-10-18 18:58:13 | WARNING  | src.mysingle.core.app_factory | ⚠️ Failed to add metrics middleware for ServiceType.IAM_SERVICE: Metrics collector not initialized.
2025-10-18 18:58:13 | INFO     | src.mysingle.core.app_factory | ❤️ Health check endpoints added for ServiceType.IAM_SERVICE
2025-10-18 18:59:12 | INFO     | src.mysingle.core.app_factory | 🔐 Authentication middleware enabled (development mode - fallback authentication available) for iam-service
2025-10-18 18:59:12 | WARNING  | src.mysingle.core.app_factory | ⚠️ Failed to add metrics middleware for iam-service: Metrics collector not initialized.
2025-10-18 18:59:12 | INFO     | src.mysingle.core.app_factory | ❤️ Health check endpoints added for iam-service
2025-10-18 18:59:12 | INFO     | src.mysingle.core.app_factory | 🔐 Auth routes and exception handlers added for iam-service
2025-10-18 18:59:12 | INFO     | src.mysingle.core.app_factory | 🔐 OAuth2 routes added for iam-service
2025-10-18 20:33:16 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | INFO     | mysingle.metrics.middleware | ✅ Metrics collector initialized for test-service
2025-10-18 20:33:17 | INFO     | mysingle.metrics.middleware | ✅ Metrics collector initialized for test-service
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
2025-10-18 20:33:17 | WARNING  | mysingle.metrics.collector | Error recording metrics: no running event loop
